cluster,MAE,RMSE
0,25.230277862409803,36.81906173854106
1,0.1539797988038995,0.2879771183127616
2,0.9810533233609323,1.0933068171687108
3,0.38009177479887835,0.5703254812472559
4,0.4871365282165483,0.5148503914045711
5,2.814206303412286,3.254506028164341
6,1.3450297536323044,1.6556743108759018
7,1.2756230511136204,1.451863628548516
8,0.5208313748437065,0.5607996451931964
9,2.4533232359246537,3.725245532066023
10,1.516946798437475,1.6667454307496814
11,0.1858024334796507,0.3142982466443597
12,0.32251568280646564,0.38848478030406114
13,0.4304775923820299,0.4912311716381414
14,0.9186725011020318,1.1320148816168798
15,0.4010086009092748,0.6144764929380306
16,1.0458962525540587,1.6832411515829349
122,0.32416566980157857,0.6899008465729632
17,0.4141569270762621,0.5206031401266813
18,1.5732341211788572,1.7776030507486928
19,0.7604059368673354,0.9761549659642996
20,0.018181818182008754,0.13483997249262183
21,0.6180617905592011,0.6240172529288848
109,0.2614579845919624,0.4119625929083917
22,1.3306493062611289,1.6464291630214878
23,0.3516768572978305,0.5485436207663469
24,0.20000000000051674,0.447213595499594
25,0.5409906265245398,0.7032416693848049
26,0.795551016845667,0.9671752463038576
70,0.14457716469233828,0.28856515429924706
27,0.6678385795231541,0.8010062263204469
28,0.29045423556748445,0.3871897782256691
113,0.24880384392391192,0.41609191475909735
29,0.09824385887038584,0.29893231407092774
30,1.5027074149598947,1.7441947240618247
44,0.7068521045844101,0.794984177571958
31,1.098641017240633,1.2581381156328966
32,0.8577368208431934,1.01219202652106
33,1.0969402422676107,1.212943713676872
34,0.6567430933158077,0.7934739150300605
35,0.4773548629766308,0.5539592048630063
36,0.44741847054139594,0.6800439608985315
77,0.3383631236194652,0.40206255736133106
37,0.2182015556458735,0.3160067422594978
108,0.2354249606732949,0.458980676974972
38,0.9734044234313269,1.2228051339299952
39,0.2691683634131475,0.44052584651933313
62,0.5794939581094636,0.6741108541435754
40,0.8751622608817775,1.1791123171889462
41,0.7009361855943774,0.794679771715943
42,1.7500547219746136,1.9025802178869826
117,0.7010762733899037,0.962699128061838
43,1.24367221616153,1.4061568168047158
118,0.319950475902828,0.5221088070633657
45,0.6755358363040272,0.8417793004282946
46,0.5873965993440997,0.6954810669079705
47,0.6960607399782034,0.9241508407214579
48,0.2720991753287779,0.3885436570465896
49,0.40019936400741807,0.894286240892105
50,0.5478189158868381,1.0409433550364768
51,1.4010334829085154,1.8895747452024143
52,0.49971722490846704,0.5002478984854324
53,0.49805063222186785,0.5055843105809538
54,0.5670823479713509,0.6682216725026304
55,0.34054023256742155,0.4613079008000818
56,0.63541063868221,0.8100365348927946
57,0.8018069691746114,1.0302068471947063
58,0.39871605697544393,0.475781560349333
59,0.23392191029620468,0.29942086206764523
60,0.29799827831246734,0.4029977511331379
61,0.3609514123471004,0.43545769494530995
63,0.5429348884359342,0.661502530527043
115,0.36350931374173606,0.7202381014814571
64,0.9303031787969174,1.0719101629697785
65,0.6947854641120308,0.8056667021582875
66,0.8113691533815512,0.9833167723704116
67,0.606304415145823,0.6807267608219078
68,0.4565386564026349,0.4656639586655436
69,0.2908130598822229,0.4646845863376425
81,0.452396837058117,0.46580675798552884
107,0.39064415238806205,0.49182336878834143
94,0.3522011229198666,0.6344371033182234
126,0.20517720884697063,0.3146294962876504
71,0.35410238955362366,0.54384495835275
72,0.7258449781160603,1.0149169650254057
125,0.3001185422188762,0.7070132961008738
73,0.3666716882843575,0.6266363527083791
74,0.7657318383415379,0.9237876064276743
75,0.5350270479748146,1.0895746406004458
76,0.1740740733689244,0.3157290388733265
116,0.16667974322589066,0.4082417291937975
89,0.30059030185960045,0.40248934435112466
78,0.48933372888809573,0.4902454270498625
79,0.21710101841585194,0.3164483200871727
80,0.6188186119088421,0.69503228379238
82,0.13360214123202996,0.32509637365261385
83,0.1622775763414835,0.3384194196895009
84,0.24795997865695452,0.3205721911428432
85,0.45046156754314215,0.47580360715122194
86,0.3314402923425017,0.6865426003044366
87,0.5254370920384444,0.5355766572689915
88,0.25692467731536933,0.4931557774377041
110,0.14932889223769172,0.3420664783615749
90,0.11289942886031408,0.3116291538978245
121,0.6139063298154485,0.7373814290806715
91,0.40745579427569,0.707384396464707
92,0.37350273598319217,0.5181070378141727
93,0.26980580776226976,0.33739173297010355
127,0.37577706231448127,0.3954473395050896
114,0.3585793328461581,0.46928819980166436
95,0.2500128913922064,0.7071109293370462
96,0.2575433918161189,0.3515458394309938
97,0.4398438981672565,0.7391585975454208
98,0.49280054953617425,0.6024972438176223
105,0.2679577407980748,0.35414921190843557
111,0.34195136608864357,0.3855447126678573
99,0.26763386756860913,0.3354513239216443
100,0.4947411040212073,1.0196190669088108
101,0.27432382449757814,0.36893207609865797
124,0.2630371054983075,0.4114230958911261
102,0.6256646206833195,0.6979454861527586
103,0.4445884085874914,0.591295768770473
104,0.2,0.4472135954999579
106,1.2335228329777606,1.8145907398302148
123,0.2890314331703169,0.43077406174882227
112,0.6590479464019967,0.8874871895168964
120,0.4273419256903816,0.4869635813441916
119,1.5,2.1213203435596424
128,0.5618391917462753,0.6096094713815716
